abril	mês	True	hyper
acampamento	lazer	True	hyper
acampamento	lugar	True	hyper
acidente	acontecimento	True	hyper
adolescente	fase	True	hyper
adolescente	jovem	True	hyper
adversário	inimigo	True	hyper
adversário	oponente	True	hyper
advogado	profissional	True	hyper
advogados	defensor	True	hyper
agente	profissão	True	hyper
agosto	mês	True	hyper
algas	animal	True	hyper
algas	planta	True	hyper
aliança	anel	True	hyper
aliança	união	True	hyper
aluno	estudante	True	hyper
amarelo	cor	True	hyper
amiga	amigo	True	hyper
amigo	amizade	True	hyper
amizade	relação	True	hyper
amor	sentimento	True	hyper
amostra	coleta	True	hyper
anúncio	propaganda	True	hyper
apartamento	moradia	True	hyper
aposentado	trabalhador	True	hyper
apresentação	palestra	True	hyper
areia	grão	True	hyper
artista	profissão	True	hyper
asiático	terreno	True	hyper
asiático	homem	True	hyper
assassino	criminoso	True	hyper
assinatura	confirmação	True	hyper
atenção	aviso	True	hyper
audição	sentido	True	hyper
aviso	informação	True	hyper
avião	aeronave	True	hyper
avião	transporte	True	hyper
avião	máquina	True	hyper
avó	mãe	True	hyper
avô	pai	True	hyper
azul	cor	True	hyper
aço	liga	True	hyper
aço	metal	True	hyper
ação	ato	True	hyper
ação	energia	True	hyper
baga	fruto	True	hyper
bala	doce	True	hyper
balada	diversão	True	hyper
bancada	estrutura	True	hyper
bancos	móvel	True	hyper
banda	conjunto	True	hyper
banda	show	True	hyper
bandeira	brasão	True	hyper
bandeira	símbolo	True	hyper
bandeira	sinal	True	hyper
bar	comércio	True	hyper
bar	restaurante	True	hyper
barco	transporte	True	hyper
barro	terra	True	hyper
baseado	droga	True	hyper
bateria	pilha	True	hyper
batida	movimento	True	hyper
bebida	líquido	True	hyper
berço	cama	True	hyper
biblioteca	acervo	True	hyper
bicicleta	veículo	True	hyper
bico	boca	True	hyper
bispo	religioso	True	hyper
bola	diversão	True	hyper
bomba	doce	True	hyper
braço	membro	True	hyper
briga	agressão	True	hyper
cabo	fio	True	hyper
cachorro	animal	True	hyper
cadeira	objeto	True	hyper
café	bebida	True	hyper
caixa	objeto	True	hyper
cama	móvel	True	hyper
cama	objeto	True	hyper
caminho	estrada	True	hyper
caminhão	veículo	True	hyper
camisa	roupa	True	hyper
campeão	vencedor	True	hyper
campo	lugar	True	hyper
cana	alimento	True	hyper
canhão	arma	True	hyper
cantor	músico	True	hyper
cantor	pessoa	True	hyper
capela	igreja	True	hyper
carne	comida	True	hyper
carro	veículo	True	hyper
carta	comunica	True	hyper
carta	comunicação	True	hyper
casa	abrigo	True	hyper
casa	moradia	True	hyper
casa	residência	True	hyper
casado	associação	True	hyper
casado	homem	True	hyper
casal	parceiros	True	hyper
catedral	igreja	True	hyper
catedral	prédio	True	hyper
cavalo	animal	True	hyper
cela	lugar	True	hyper
cela	prisão	True	hyper
celular	telefone	True	hyper
cena	imagem	True	hyper
cerca	muro	True	hyper
cercado	limite	True	hyper
cerveja	bebida	True	hyper
chaves	ferramenta	True	hyper
chinês	asiático	True	hyper
